path,line_count,complexity,exports_count,total_imports,external_imports,internal_imports,interfaces_count,types_count,enums_count,generics_count,decorators_count,has_advanced_types,exports,imported_modules
./cypress.config.ts,62,1.52,1,2,2,0,0,0,0,0,0,Yes,variable:defineConfig,cypress;pg
./tools/benchmarkPOIGeneration.ts,65,1.45,1,1,1,0,0,0,0,0,0,Yes,variable:async,perf_hooks
./tools/benchmarkSpatialLayout.ts,271,5.01,0,9,1,8,2,0,0,1,0,No,,perf_hooks;../src/utils/grid;../src/utils/collision;../src/utils/terrain;../src/generators/SpatialLayoutGenerator;../src/generators/OptimizedSpatialLayoutGenerator;../src/types/spatial;../src/types/grid;../src/types/terrain
./types/grid.ts,40,5.1,6,0,0,0,5,0,1,2,0,No,interface:GridPosition;interface:GridDimensions;interface:GridCell;interface:Grid;enum:CellType;interface:PathfindingNode,
./types/buildings/base.ts,41,2.61,4,0,0,0,2,0,2,0,0,No,interface:BuildingBase;enum:BuildingType;enum:POICategory;interface:Coordinate,
./types/buildings/dungeon.ts,77,6.37,10,1,0,1,5,0,5,0,0,No,interface:DungeonStructure;interface:EnemyLair;interface:PuzzleRoom;interface:TreasureChamber;interface:TrapRoom;enum:DifficultyRating;enum:PuzzleType;enum:TrapType;enum:DamageType;enum:RewardType,./base
./types/buildings/exploration.ts,101,7.81,13,1,0,1,5,0,8,0,0,No,interface:ExplorationFeature;interface:Ruins;interface:Campsite;interface:Landmark;interface:ResourceNode;enum:InteractionType;enum:Season;enum:PreservationState;enum:ArtifactType;enum:CampsiteFacility;enum:RestQuality;enum:LandmarkType;enum:ResourceType,./base
./types/buildings/social.ts,80,7.1,11,1,0,1,6,0,5,0,0,No,interface:SocialBuilding;enum:SocialService;interface:Inn;interface:Shop;interface:Tavern;interface:GuildHall;interface:NPCHome;enum:RoomType;enum:ShopType;enum:EntertainmentType;enum:SocialStatus,./base
./cypress/plugins/index.ts,75,1.75,1,3,3,0,0,0,0,0,0,Yes,variable:defineConfig,cypress;pg;@/websocket/chat
./cypress/support/commands.ts,26,2.26,0,2,2,0,1,0,0,1,3,No,,@testing-library/cypress/add-commands;cypress-file-upload
./cypress/support/e2e.ts,2,0.12,0,1,0,1,0,0,0,0,0,No,,./commands
./cypress/e2e/smoke.spec.ts,1,0.01,0,0,0,0,0,0,0,0,0,No,,
./cypress/e2e/userFlows.spec.ts,125,3.15,0,1,1,0,0,0,0,0,6,No,,@faker-js/faker
./cypress/e2e/pathfinding.spec.ts,107,1.37,0,0,0,0,0,0,0,0,1,No,,
./cypress/e2e/searchAndFilter.spec.ts,140,1.7,0,0,0,0,0,0,0,0,1,No,,
